Date,Experiment,Image,Target,Treatment,Dose,Embryo,Somites,Section,Control Side,Experimental Side
20181119,20181119_UnlabeledSMPD3MO_DR,"20181207_SMPD3MO_0,6mM_Pax7LamininDAPI_Emb1_7ss_sec1.czi",SMPD3,MO,0.6 mM,1,7,1,Complete channel,Complete channel
20181119,20181119_UnlabeledSMPD3MO_DR,"20181207_SMPD3MO_0,6mM_Pax7LamininDAPI_Emb1_7ss_sec2.czi",SMPD3,MO,0.6 mM,1,7,2,Complete channel,Complete channel
20181119,20181119_UnlabeledSMPD3MO_DR,"20181207_SMPD3MO_0,6mM_Pax7LamininDAPI_Emb1_7ss_sec3.czi",SMPD3,MO,0.6 mM,1,7,3,Complete channel,No channel
20181119,20181119_UnlabeledSMPD3MO_DR,"20181207_SMPD3MO_0,6mM_Pax7LamininDAPI_Emb2_7ss_sec1.czi",SMPD3,MO,0.6 mM,2,7,1,Complete channel,Incomplete channel
20181119,20181119_UnlabeledSMPD3MO_DR,"20181207_SMPD3MO_0,6mM_Pax7LamininDAPI_Emb2_7ss_sec2.czi",SMPD3,MO,0.6 mM,2,7,2,Incomplete channel,No channel
20181119,20181119_UnlabeledSMPD3MO_DR,"20181207_SMPD3MO_0,6mM_Pax7LamininDAPI_Emb2_7ss_sec3.czi",SMPD3,MO,0.6 mM,2,7,3,No channel,No channel
20181119,20181119_UnlabeledSMPD3MO_DR,"20181207_SMPD3MO_0,6mM_Pax7LamininDAPI_Emb5_8ss_sec1.czi",SMPD3,MO,0.6 mM,5,8,1,Complete channel,Complete channel
20181119,20181119_UnlabeledSMPD3MO_DR,"20181207_SMPD3MO_0,6mM_Pax7LamininDAPI_Emb5_8ss_sec2.czi",SMPD3,MO,0.6 mM,5,8,2,Complete channel,Complete channel
20181119,20181119_UnlabeledSMPD3MO_DR,"20181207_SMPD3MO_0,6mM_Pax7LamininDAPI_Emb5_8ss_sec3.czi",SMPD3,MO,0.6 mM,5,8,3,No channel,No channel
20181119,20181119_UnlabeledSMPD3MO_DR,"20181207_SMPD3MO_0,8mM_Pax7LamininDAPI_Emb1_7ss_sec1.czi",SMPD3,MO,0.8 mM,1,7,1,Complete channel,Incomplete channel
20181119,20181119_UnlabeledSMPD3MO_DR,"20181207_SMPD3MO_0,8mM_Pax7LamininDAPI_Emb1_7ss_sec2.czi",SMPD3,MO,0.8 mM,1,7,2,Complete channel,Incomplete channel
20181119,20181119_UnlabeledSMPD3MO_DR,"20181207_SMPD3MO_0,8mM_Pax7LamininDAPI_Emb1_7ss_sec3.czi",SMPD3,MO,0.8 mM,1,7,3,Complete channel,No channel
20181119,20181119_UnlabeledSMPD3MO_DR,"20181207_SMPD3MO_0,8mM_Pax7LamininDAPI_Emb5_8ss_sec1.czi",SMPD3,MO,0.8 mM,5,8,1,Complete channel,Complete channel
20181119,20181119_UnlabeledSMPD3MO_DR,"20181207_SMPD3MO_0,8mM_Pax7LamininDAPI_Emb5_8ss_sec2.czi",SMPD3,MO,0.8 mM,5,8,2,Complete channel,Complete channel
20181119,20181119_UnlabeledSMPD3MO_DR,"20181207_SMPD3MO_0,8mM_Pax7LamininDAPI_Emb5_8ss_sec3.czi",SMPD3,MO,0.8 mM,5,8,3,Complete channel,Complete channel
20181119,20181119_UnlabeledSMPD3MO_DR,20181207_SMPD3MO_1mM_Pax7LamininDAPI_Emb5_6ss_sec1.czi,SMPD3,MO,1 mM,5,6,1,Complete channel,No channel
20181119,20181119_UnlabeledSMPD3MO_DR,20181207_SMPD3MO_1mM_Pax7LamininDAPI_Emb5_6ss_sec2.czi,SMPD3,MO,1 mM,5,6,2,Complete channel,No channel
20181119,20181119_UnlabeledSMPD3MO_DR,20181207_SMPD3MO_1mM_Pax7LamininDAPI_Emb5_6ss_sec3.czi,SMPD3,MO,1 mM,5,6,3,Incomplete channel,No channel
20181119,20181119_UnlabeledSMPD3MO_DR,20181207_SMPD3MO_1mM_Pax7LamininDAPI_Emb6_8ss_sec1.czi,SMPD3,MO,1 mM,6,8,1,Complete channel,Complete channel
20181119,20181119_UnlabeledSMPD3MO_DR,20181207_SMPD3MO_1mM_Pax7LamininDAPI_Emb6_8ss_sec2.czi,SMPD3,MO,1 mM,6,8,2,Complete channel,Incomplete channel
20181119,20181119_UnlabeledSMPD3MO_DR,20181207_SMPD3MO_1mM_Pax7LamininDAPI_Emb6_8ss_sec3.czi,SMPD3,MO,1 mM,6,8,3,Incomplete channel,No channel
20181119,20181119_UnlabeledSMPD3MO_DR,20181207_SMPD3MO_1mM_Pax7LamininDAPI_Emb7_9ss_sec1.czi,SMPD3,MO,1 mM,7,9,1,Complete channel,Complete channel
20181119,20181119_UnlabeledSMPD3MO_DR,20181207_SMPD3MO_1mM_Pax7LamininDAPI_Emb7_9ss_sec2.czi,SMPD3,MO,1 mM,7,9,2,Complete channel,Complete channel
20181119,20181119_UnlabeledSMPD3MO_DR,20181207_SMPD3MO_1mM_Pax7LamininDAPI_Emb7_9ss_sec3.czi,SMPD3,MO,1 mM,7,9,3,Incomplete channel,No channel