,Image,Cntl Area,Expt Area,Expt/Cntl Area,Norm Cntl Area,Norm Expt Area,Date,Treatment,Dose,Stains,Embryo,Somites,ImageMag
0,"20180715_SMPD3MONC11m3bCat_0,8mM2ugul_Pax7GFP_Emb1_8ss_10x",74016.87400000001,36791.706,0.4970718703953911,1.1490372166898495,0.5711540784539378,20180715,SMPD3MONC11m3bCat,"0,8mM2ugul",Pax7GFP,Emb1,8ss,10x
1,"20180715_SMPD3MONC11m3bCat_0,8mM2ugul_Pax7GFP_Emb2_7ss_10x",50204.91099999999,35216.774,0.7014607395678881,0.7793805396267018,0.546704849731366,20180715,SMPD3MONC11m3bCat,"0,8mM2ugul",Pax7GFP,Emb2,7ss,10x
2,"20180715_SMPD3MONC11m3bCat_0,8mM2ugul_Pax7GFP_Emb3_7ss_10x",49913.257000000005,24796.991,0.49680170139969027,0.7748529058280028,0.3849482419498457,20180715,SMPD3MONC11m3bCat,"0,8mM2ugul",Pax7GFP,Emb3,7ss,10x
3,"20180715_SMPD3MONC11m3bCat_0,8mM2ugul_Pax7GFP_Emb6_8ss_10x",72103.705,23918.319,0.331721081461764,1.1193372001393356,0.37130774655060333,20180715,SMPD3MONC11m3bCat,"0,8mM2ugul",Pax7GFP,Emb6,8ss,10x
4,"20190603_SMPD3MONC11m3bCat_0,8mM2ugul_Cad6bRFPGFPSnai2_Emb3_8ss_5x",70442.204,28354.141,0.40251638066293327,1.093544075120743,0.4401694032129963,20190603,SMPD3MONC11m3bCat,"0,8mM2ugul",Cad6bRFPGFPSnai2,Emb3,8ss,5x
5,"20190603_SMPD3MONC11m3bCat_0,8mM2ugul_Cad6bRFPGFPSnai2_Emb6_8ss_5x",47142.852,31093.835,0.6595662689223808,0.7318451661293004,0.48270038565278267,20190603,SMPD3MONC11m3bCat,"0,8mM2ugul",Cad6bRFPGFPSnai2,Emb6,8ss,5x
6,"20190603_SMPD3MONC11m3bCat_0,8mM2ugul_Cad6bRFPGFPSnai2_Emb7_8ss_5x",84836.521,25874.154,0.30498839055411053,1.317001309235107,0.4016701096612717,20190603,SMPD3MONC11m3bCat,"0,8mM2ugul",Cad6bRFPGFPSnai2,Emb7,8ss,5x
7,"20190603_SMPD3MONC11m3bCat_0,8mM2ugul_Cad6bRFPGFPSnai2_Emb8_8ss_5x",66671.106,20264.501,0.3039472751509477,1.0350015872309593,0.31458591221575594,20190603,SMPD3MONC11m3bCat,"0,8mM2ugul",Cad6bRFPGFPSnai2,Emb8,8ss,5x
8,"20180514_SMPD3MO_0,8mM_Pax7Laminin_Emb12_8ss_10x",116506.05699999999,53329.019,0.45773602139844116,1.383248568928847,0.6331626965465779,20180514,SMPD3MO,"0,8mM",Pax7Laminin,Emb12,8ss,10x
9,"20180514_SMPD3MO_0,8mM_Pax7Laminin_Emb13_8ss_10x",97302.02,40681.74,0.4180975893408996,1.1552436275384899,0.48300457577527867,20180514,SMPD3MO,"0,8mM",Pax7Laminin,Emb13,8ss,10x
10,"20180514_SMPD3MO_0,8mM_Pax7Laminin_Emb1_8ss_10x",129671.71800000001,61209.66,0.47203554440452467,1.5395613152889127,0.726727663606548,20180514,SMPD3MO,"0,8mM",Pax7Laminin,Emb1,8ss,10x
11,"20180514_SMPD3MO_0,8mM_Pax7Laminin_Emb3_9ss_10x",173182.4,121514.47,0.7016559996858803,2.0561532432915754,1.4427122594291157,20180514,SMPD3MO,"0,8mM",Pax7Laminin,Emb3,9ss,10x
12,"20180514_SMPD3MO_0,8mM_Pax7Laminin_Emb6_8ss_10x",72508.322,52025.129,0.7175056264576085,0.860873977066549,0.6176819222161871,20180514,SMPD3MO,"0,8mM",Pax7Laminin,Emb6,8ss,10x
13,"20180514_SMPD3MO_0,8mM_Pax7Laminin_Emb7_9ss_10x",122006.469,61269.639,0.5021835276619636,1.4485536459646193,0.7274397799381116,20180514,SMPD3MO,"0,8mM",Pax7Laminin,Emb7,9ss,10x
14,"20180514_SMPD3MO_0,8mM_Pax7Laminin_Emb8_7ss_10x",74199.298,44131.504,0.5947698319194341,0.8809505309584468,0.5239627992274917,20180514,SMPD3MO,"0,8mM",Pax7Laminin,Emb8,7ss,10x
15,"20180630_SMPD3MO_0,8mM_Pax7_Emb2_7ss_10x",89317.48300000001,44110.473,0.49386157690986426,1.0604451281024527,0.5237131031910602,20180630,SMPD3MO,"0,8mM",Pax7,Emb2,7ss,10x
16,"20180630_SMPD3MO_0,8mM_Pax7_Emb3_9ss_10x",146043.286,47621.453,0.3260776602903882,1.7339370292238654,0.5653981295801845,20180630,SMPD3MO,"0,8mM",Pax7,Emb3,9ss,10x
17,"20180630_SMPD3MO_0,8mM_Pax7_Emb4_8ss_10x",88178.692,62290.316,0.7064100701334967,1.0469245347391474,0.7395580340095594,20180630,SMPD3MO,"0,8mM",Pax7,Emb4,8ss,10x
18,"20180630_SMPD3MO_0,8mM_Pax7_Emb5_8ss_10x",80452.84599999999,47922.587999999996,0.5956605686764642,0.955197411716997,0.5689734334616332,20180630,SMPD3MO,"0,8mM",Pax7,Emb5,8ss,10x
19,"20180630_SMPD3MO_0,8mM_Pax7_Emb7_7ss_10x",46954.255,47286.308,1.007071840454076,0.5574766471915719,0.561419033097384,20180630,SMPD3MO,"0,8mM",Pax7,Emb7,7ss,10x
20,"20180630_SMPD3MO_0,8mM_Pax7_Emb8_8ss_10x",76233.033,54937.746,0.7206553883275246,0.9050965805353414,0.6522627277196111,20180630,SMPD3MO,"0,8mM",Pax7,Emb8,8ss,10x
21,"20180702_SMPD3MO_0,8mM_Pax7TCFLefRFP_Emb3_9ss_10x",97942.61300000001,72303.432,0.738222411934221,1.1628492351208994,0.8584413670668145,20180702,SMPD3MO,"0,8mM",Pax7TCFLefRFP,Emb3,9ss,10x
22,"20181119_SMPD3MO_0,6mM_Pax7_Emb1_7ss_10x",84674.72,51361.015,0.6065684657711298,1.005322712659058,0.6097970554224752,20181119,SMPD3MO,"0,6mM",Pax7,Emb1,7ss,10x
23,"20181119_SMPD3MO_0,6mM_Pax7_Emb2_7ss_10x",44774.579000000005,22611.131,0.5049992988208778,0.5315978750026844,0.26845655413102426,20181119,SMPD3MO,"0,6mM",Pax7,Emb2,7ss,10x
24,"20181119_SMPD3MO_0,6mM_Pax7_Emb5_9ss_10x",131576.416,90281.281,0.6861509360461681,1.56217533940563,1.0718880714014134,20181119,SMPD3MO,"0,6mM",Pax7,Emb5,9ss,10x
25,"20181119_SMPD3MO_0,6mM_Pax7_Emb6_7ss_10x",47346.082,27928.306,0.5898757578293384,0.5621287155129442,0.3315861020608305,20181119,SMPD3MO,"0,6mM",Pax7,Emb6,7ss,10x
26,"20181119_SMPD3MO_0,8mM_Pax7_Emb1_7ss_10x",59571.234000000004,35117.22,0.5894996232577623,0.7072750233048012,0.4169383597778053,20181119,SMPD3MO,"0,8mM",Pax7,Emb1,7ss,10x
27,"20181119_SMPD3MO_0,8mM_Pax7_Emb3_7ss_10x",49505.352999999996,25691.123,0.5189564651725643,0.5877652240137816,0.30502456300555253,20181119,SMPD3MO,"0,8mM",Pax7,Emb3,7ss,10x
28,"20181119_SMPD3MO_0,8mM_Pax7_Emb4_7ss_10x",47452.026,35071.668,0.7390973780550487,0.5633865633035238,0.4163975317690791,20181119,SMPD3MO,"0,8mM",Pax7,Emb4,7ss,10x
29,"20181119_SMPD3MO_0,8mM_Pax7_Emb5_8ss_10x",93746.916,35418.973,0.3778148072625664,1.1130347274433368,0.42052100102554735,20181119,SMPD3MO,"0,8mM",Pax7,Emb5,8ss,10x
30,"20181119_SMPD3MO_1,0mM_Pax7_Emb3_7ss_10x",52654.599,42694.662000000004,0.8108439302709343,0.6251554690780782,0.5069035175776384,20181119,SMPD3MO,"1,0mM",Pax7,Emb3,7ss,10x
31,"20181119_SMPD3MO_1,0mM_Pax7_Emb4_6ss_10x",43721.325999999994,30974.287999999997,0.70844804661231,0.5190928538691477,0.36775031833400695,20181119,SMPD3MO,"1,0mM",Pax7,Emb4,6ss,10x
32,"20181119_SMPD3MO_1,0mM_Pax7_Emb5_6ss_10x",41534.435,22358.227000000003,0.538305793734765,0.4931284197096999,0.26545388538500037,20181119,SMPD3MO,"1,0mM",Pax7,Emb5,6ss,10x
33,"20181119_SMPD3MO_1,0mM_Pax7_Emb6_8ss_10x",64640.245,37909.473,0.58646858470292,0.7674581793756875,0.45009011227713913,20181119,SMPD3MO,"1,0mM",Pax7,Emb6,8ss,10x
34,"20181119_SMPD3MO_1,0mM_Pax7_Emb7_9ss_10x",102416.567,59620.084,0.5821332011646124,1.2159674216539265,0.7078550076792802,20181119,SMPD3MO,"1,0mM",Pax7,Emb7,9ss,10x
35,"20181102_SMPD3gRNA1RNP_0,35ugul_Pax7Laminin_Emb2_8ss_10x",54788.931,46606.95,0.8506636130571702,1.3690000469430574,1.164558526208017,20181102,SMPD3gRNA1RNP,"0,35ugul",Pax7Laminin,Emb2,8ss,10x
36,"20181102_SMPD3gRNA1RNP_0,35ugul_Pax7Laminin_Emb3_7ss_10x",56474.135,44153.345,0.7818330462254978,1.4111079018144845,1.103250789428489,20181102,SMPD3gRNA1RNP,"0,35ugul",Pax7Laminin,Emb3,7ss,10x
37,"20181102_SMPD3gRNA1RNP_0,35ugul_Pax7Laminin_Emb6_7ss_10x",34125.388999999996,26955.85,0.7899060139651449,0.8526842610407948,0.6735404258095493,20181102,SMPD3gRNA1RNP,"0,35ugul",Pax7Laminin,Emb6,7ss,10x
38,"20181102_SMPD3gRNA1RNP_0,35ugul_Pax7Laminin_Emb7_7ss_10x",31746.811,25588.065,0.8060042629163603,0.7932512088854659,0.6393638559252417,20181102,SMPD3gRNA1RNP,"0,35ugul",Pax7Laminin,Emb7,7ss,10x
39,"20181102_SMPD3gRNA1RNP_0,35ugul_Sox9Cad6b_Emb1_7ss_10x",35137.007000000005,32187.898999999998,0.9160683207878233,0.8779613574216031,0.8042725864098059,20181102,SMPD3gRNA1RNP,"0,35ugul",Sox9Cad6b,Emb1,7ss,10x
40,"20181102_SMPD3gRNA1RNP_0,35ugul_Sox9Cad6b_Emb4_7ss_10x",30040.995,25846.946,0.8603891449001606,0.7506283260977689,0.6458324636290983,20181102,SMPD3gRNA1RNP,"0,35ugul",Sox9Cad6b,Emb4,7ss,10x
41,"20181102_SMPD3gRNA1RNP_0,35ugul_Sox9Cad6b_Emb5_7ss_10x",37834.653,23655.521,0.6252342528422291,0.9453668977968249,0.5910757660057737,20181102,SMPD3gRNA1RNP,"0,35ugul",Sox9Cad6b,Emb5,7ss,10x
42,20171016_SMPD3gRNA1DNA_2ugul_Pax7Sox9_Emb2_7ss_10x,75291.30099999999,51738.422,0.6871766234986431,0.886079373681104,0.6088930321579734,20171016,SMPD3gRNA1DNA,2ugul,Pax7Sox9,Emb2,7ss,10x
43,20171016_SMPD3gRNA1DNA_2ugul_Pax7Sox9_Emb5_9ss_10x,80357.839,88925.67,1.1066209732195509,0.9457058478971827,1.046537925779401,20171016,SMPD3gRNA1DNA,2ugul,Pax7Sox9,Emb5,9ss,10x
44,20171016_SMPD3gRNA1DNA_2ugul_Pax7Sox9_Emb9_9ss_10x,83373.317,77197.87400000001,0.9259302229752957,0.9811940493507496,0.9085172248973729,20171016,SMPD3gRNA1DNA,2ugul,Pax7Sox9,Emb9,9ss,10x
45,20180418_SMPD3gRNA1DNA_2ugul_Pax7NcadLaminin_Emb1_8ss_10x,71843.804,51341.649000000005,0.7146287660380567,0.8455068780281536,0.6042235369219492,20180418,SMPD3gRNA1DNA,2ugul,Pax7NcadLaminin,Emb1,8ss,10x
46,20180418_SMPD3gRNA1DNA_2ugul_Pax7NcadLaminin_Emb5_9ss_10x,107900.3,65898.593,0.6107359571752812,1.2698443110181246,0.7755395807532398,20180418,SMPD3gRNA1DNA,2ugul,Pax7NcadLaminin,Emb5,9ss,10x
47,20180418_SMPD3gRNA1DNA_2ugul_Pax7NcadLaminin_Emb7_8ss_10x,53975.605,34435.805,0.6379883097188072,0.6352217273076297,0.4052640361016558,20180418,SMPD3gRNA1DNA,2ugul,Pax7NcadLaminin,Emb7,8ss,10x
48,20180418_SMPD3gRNA1DNA_2ugul_Snai2Cad6b_Emb2_9ss_10x,116946.52699999999,81341.425,0.6955437419702084,1.3763064792616655,0.9572813586835018,20180418,SMPD3gRNA1DNA,2ugul,Snai2Cad6b,Emb2,9ss,10x
49,20180418_SMPD3gRNA1DNA_2ugul_Snai2Cad6b_Emb4_8ss_10x,90081.569,58247.154,0.6466045679111118,1.0601413334553904,0.6854922288436325,20180418,SMPD3gRNA1DNA,2ugul,Snai2Cad6b,Emb4,8ss,10x
50,"20190702_NC11m3Dyn1K44A_1,0ugul_Pax7RFPGFPDAPI_Emb1_8ss_5x",47720.801,32872.204,0.6888443469337406,0.8604792954395504,0.5927362983170623,20190702,NC11m3Dyn1K44A,"1,0ugul",Pax7RFPGFPDAPI,Emb1,8ss,5x
51,"20190702_NC11m3Dyn1K44A_1,0ugul_Pax7RFPGFPDAPI_Emb2_8ss_5x",65854.062,33540.02,0.509308294452664,1.1874498265775646,0.6047780459223311,20190702,NC11m3Dyn1K44A,"1,0ugul",Pax7RFPGFPDAPI,Emb2,8ss,5x
52,"20190702_NC11m3Dyn1K44A_1,5ugul_Pax7RFPGFPDAPI_Emb1_7ss_5x",39235.417,28382.173,0.723381454057185,0.7074747965030377,0.5117741470031785,20190702,NC11m3Dyn1K44A,"1,5ugul",Pax7RFPGFPDAPI,Emb1,7ss,5x
53,"20190702_NC11m3Dyn1K44A_1,5ugul_Pax7RFPGFPDAPI_Emb2_8ss_5x",45072.622,31290.882,0.6942325653919135,0.812728563004908,0.5642226352621807,20190702,NC11m3Dyn1K44A,"1,5ugul",Pax7RFPGFPDAPI,Emb2,8ss,5x
54,"20190702_NC11m3Dyn1K44A_1,5ugul_Pax7RFPGFPDAPI_Emb3_8ss_5x",79409.075,52549.685999999994,0.6617592006958902,1.4318675184749394,0.9475515045283837,20190702,NC11m3Dyn1K44A,"1,5ugul",Pax7RFPGFPDAPI,Emb3,8ss,5x
